"trial","x"
"1",0.922075816577812
"2",0.364674723451146
"3",0.640885420963389
"4",0.760005979995668
"5",0.317682781652811
"6",0.927387905734782
"7",0.986689989038833
"8",0.924785532072456
"9",0.683344156112032
"10",0.746887252172314
"11",0.873932029724739
"12",0.990140167585497
"13",0.889689696104257
"14",0.851047005342538
"15",0.99062235454764
"16",0.966817542884769
"17",0.826070517448872
"18",0.966946126940302
"19",0.814513597705306
"20",0.895256756274536
"21",0.968218409830309
"22",0.993318140059718
"23",0.951998976410014
"24",0.813156196559849
"25",0.826405605657489
"26",0.633071652031153
"27",0.824237207192011
"28",0.963827269337603
"29",0.978277929046031
"30",0.834732461054688
